contract_id	object_kind	class_id	class_size	object_key
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_US500_PERIOD_M5_1781481600_1782086400_15824288097372850924::COMPRESSION::15
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907::COMPRESSION::5
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233::COMPRESSION::7
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654::COMPRESSION::14
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_USTEC_PERIOD_M5_1774224000_1774828800_8427243982755741149::COMPRESSION::8
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_USTEC_PERIOD_M5_1781481600_1782086400_1420130309434895637::COMPRESSION::17
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_USTEC_PERIOD_M5_1783900800_1784505600_8244317532604104187::COMPRESSION::3
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300::COMPRESSION::6
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300::COMPRESSION::9
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000007	8	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::7
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000007	8	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::8
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000007	8	RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070::COMPRESSION::9
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000007	8	RG3_US30_PERIOD_M5_1768176000_1768780800_14299449350608203917::COMPRESSION::8
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000007	8	RG3_US30_PERIOD_M5_1781481600_1782086400_9939459563788191184::COMPRESSION::4
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000007	8	RG3_US500_PERIOD_M5_1781481600_1782086400_15824288097372850924::COMPRESSION::3
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000007	8	RG3_US500_PERIOD_M5_1781481600_1782086400_15824288097372850924::COMPRESSION::8
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000007	8	RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654::COMPRESSION::9
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000008	1	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::8
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000009	1	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::1
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000010	1	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::10
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000011	1	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::11
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000012	1	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::12
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000013	1	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::2
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000014	20	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::3
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000014	20	RG3_DE40_PERIOD_M5_1783900800_1784505600_9564959796063117251::COMPRESSION::8
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000014	20	RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252::COMPRESSION::3
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000014	20	RG3_FRA40_PERIOD_M5_1768176000_1768780800_7648442211186610174::COMPRESSION::7
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000014	20	RG3_FRA40_PERIOD_M5_1781481600_1782086400_317235149503321393::COMPRESSION::11
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000014	20	RG3_FRA40_PERIOD_M5_1781481600_1782086400_317235149503321393::COMPRESSION::9
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000014	20	RG3_JPN225_PERIOD_M5_1768176000_1768780800_17871390277607299118::COMPRESSION::5
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000014	20	RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637::COMPRESSION::5
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000014	20	RG3_US30_PERIOD_M5_1774224000_1774828800_14068181511802716677::COMPRESSION::13
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000014	20	RG3_US30_PERIOD_M5_1774224000_1774828800_14068181511802716677::COMPRESSION::8
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000014	20	RG3_US30_PERIOD_M5_1783900800_1784505600_318110170989838139::COMPRESSION::4
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000014	20	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142::COMPRESSION::9
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000014	20	RG3_US500_PERIOD_M5_1774224000_1774828800_1890775757493427196::COMPRESSION::1
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000014	20	RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907::COMPRESSION::1
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000014	20	RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907::COMPRESSION::11
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000014	20	RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907::COMPRESSION::2
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000014	20	RG3_USTEC_PERIOD_M5_1774224000_1774828800_8427243982755741149::COMPRESSION::11
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000014	20	RG3_USTEC_PERIOD_M5_1774224000_1774828800_8427243982755741149::COMPRESSION::14
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000014	20	RG3_USTEC_PERIOD_M5_1774224000_1774828800_8427243982755741149::COMPRESSION::15
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000014	20	RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730::COMPRESSION::3
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000015	1	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::4
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000016	1	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::5
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000017	4	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::6
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000017	4	RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755::COMPRESSION::3
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000017	4	RG3_US30_PERIOD_M5_1781481600_1782086400_9939459563788191184::COMPRESSION::12
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000017	4	RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233::COMPRESSION::9
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000018	1	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::7
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000019	1	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::9
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000020	1	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::1
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000021	5	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::10
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000021	5	RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755::COMPRESSION::4
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000021	5	RG3_US30_PERIOD_M5_1781481600_1782086400_9939459563788191184::COMPRESSION::3
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000021	5	RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654::COMPRESSION::11
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000021	5	RG3_USTEC_PERIOD_M5_1781481600_1782086400_1420130309434895637::COMPRESSION::16
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000022	1	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::11
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000023	12	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::12
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000023	12	RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252::COMPRESSION::10
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000023	12	RG3_FRA40_PERIOD_M5_1768176000_1768780800_7648442211186610174::COMPRESSION::5
