object_key	representation_id	availability	byte_offset	byte_length	dimensions
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::2	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	29872	504	126
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::3	SUMMARY_RAW_V1	AVAILABLE	30376	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::3	SUMMARY_CANONICAL_V1	AVAILABLE	30416	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::3	TRAJECTORY_RAW_U21_V1	AVAILABLE	30456	504	126
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::3	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	30960	504	126
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::4	SUMMARY_RAW_V1	AVAILABLE	31464	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::4	SUMMARY_CANONICAL_V1	AVAILABLE	31504	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::4	TRAJECTORY_RAW_U21_V1	AVAILABLE	31544	504	126
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::4	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	32048	504	126
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::5	SUMMARY_RAW_V1	AVAILABLE	32552	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::5	SUMMARY_CANONICAL_V1	AVAILABLE	32592	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::5	TRAJECTORY_RAW_U21_V1	AVAILABLE	32632	504	126
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::5	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	33136	504	126
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::6	SUMMARY_RAW_V1	AVAILABLE	33640	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::6	SUMMARY_CANONICAL_V1	AVAILABLE	33680	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::6	TRAJECTORY_RAW_U21_V1	AVAILABLE	33720	504	126
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::6	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	34224	504	126
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::7	SUMMARY_RAW_V1	AVAILABLE	34728	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::7	SUMMARY_CANONICAL_V1	AVAILABLE	34768	40	10
