left_object_key	right_object_key	representation_id	distance_contract	comparison_mode	status	reason	distance	comparable_support_points	comparable_support_bars	comparable_support_seconds	observed_fraction_left	observed_fraction_right	left_censored	right_censored
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::1	RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070::COMPRESSION::13	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.0365629120211467	9	24	7200	1	1	0	0
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::10	RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755::COMPRESSION::4	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	3	21	6600	1	1	0	0
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::11	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142::COMPRESSION::2	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.01747390366657653	5	15	4500	1	1	0	0
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::12	RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252::COMPRESSION::10	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	3	15	4500	1	1	0	0
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::13	RG3_US30_PERIOD_M5_1781481600_1782086400_9939459563788191184::COMPRESSION::15	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.3698798330953154	2	4	1200	1	1	1	1
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::2	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::9	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	3	12	3600	1	1	0	0
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::3	RG3_FRA40_PERIOD_M5_1774224000_1774828800_14575658576911331190::COMPRESSION::3	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.005791225125323888	7	35	10500	1	1	0	0
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::4	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::8	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.0017397226359136652	5	20	6000	1	1	0	0
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::5	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::COMPRESSION::12	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	3	13	3900	1	1	0	0
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::6	RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363::COMPRESSION::5	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.04969439935588274	9	23	6900	1	1	0	0
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::7	RG3_USTEC_PERIOD_M5_1783900800_1784505600_8244317532604104187::COMPRESSION::6	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.021731075482507013	7	22	6600	1	1	0	0
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::8	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::12	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.009651481542097554	5	41	12300	1	1	0	0
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::9	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::2	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	3	12	3600	1	1	0	0
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::1	RG3_US30_PERIOD_M5_1768176000_1768780800_14299449350608203917::EXPANSION::5	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.0002709984773548335	2	172	55200	1	1	0	0
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::10	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795::EXPANSION::3	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	2	35	14100	1	1	0	0
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::11	RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421::EXPANSION::10	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	2	23	6900	1	1	0	0
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::12	RG3_US500_PERIOD_M5_1781481600_1782086400_15824288097372850924::EXPANSION::10	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.000268092365404371	2	175	55800	1	1	0	0
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::2	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::EXPANSION::2	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	2	44	14400	1	1	0	0
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::3	RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789::EXPANSION::2	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	2	186	59400	1	1	0	0
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::4	RG3_FRA40_PERIOD_M5_1768176000_1768780800_7648442211186610174::EXPANSION::4	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	2	21	9900	1	1	0	0
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::5	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::3	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	2	21	6300	1	1	0	0
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::6	RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755::EXPANSION::6	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.000432890643763173	2	113	34500	1	1	0	0
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::7	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::11	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	2	24	10800	1	1	0	0
