target	feature	coefficient	absolute_coefficient	full_fit_penalty
initial_acceptance_given_initial_contact	contributor_families==DAILY_EXTREME|MID_PIVOT	-0.1509295910319015	0.1509295910319015	0.01
initial_acceptance_given_initial_contact	contributor_families==TPO_PROFILE	0.14958410274813022	0.14958410274813022	0.01
initial_acceptance_given_initial_contact	eligibility_latency_seconds	-0.1410609595694714	0.1410609595694714	0.01
initial_acceptance_given_initial_contact	contributor_producers==VOLKITT	0.13993258780212897	0.13993258780212897	0.01
initial_acceptance_given_initial_contact	frozen_count	-0.12556845338232772	0.12556845338232772	0.01
initial_acceptance_given_initial_contact	feature_regional_median_velocity_atr	-0.11738983544692996	0.11738983544692996	0.01
initial_acceptance_given_initial_contact	contributor_families==MID_PIVOT|PIVOT|TPO_PROFILE	0.11609487421400284	0.11609487421400284	0.01
initial_acceptance_given_initial_contact	contributor_families==MID_PIVOT|PIVOT	0.1026311158340859	0.1026311158340859	0.01
initial_acceptance_given_initial_contact	feature_poc_distance_atr	0.09928626926865873	0.09928626926865873	0.01
initial_acceptance_given_initial_contact	family_count	-0.09752741338166317	0.09752741338166317	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|PIVOT	-0.09672314480787866	0.09672314480787866	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|MID_PIVOT|TPO_PROFILE	-0.0960837529893526	0.0960837529893526	0.01
initial_acceptance_given_initial_contact	corridor_down_atr	-0.09220705246149367	0.09220705246149367	0.01
initial_acceptance_given_initial_contact	contributor_families==GLOBAL_VALUE|TPO_PROFILE	0.0919651901346708	0.0919651901346708	0.01
initial_acceptance_given_initial_contact	contributor_families==MID_PIVOT|PIVOT|PIVOT_ZONE	-0.08888174403617746	0.08888174403617746	0.01
initial_acceptance_given_initial_contact	feature_noise_level_count	-0.0858235450087201	0.0858235450087201	0.01
initial_acceptance_given_initial_contact	feature_regional_cog_velocity_sigma	-0.084044659737464	0.084044659737464	0.01
initial_acceptance_given_initial_contact	canonical_instrument==US30	-0.08341091344548295	0.08341091344548295	0.01
initial_acceptance_given_initial_contact	feature_lattice_width_atr	-0.08215058175446618	0.08215058175446618	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|TPO_PROFILE	-0.08144529527698466	0.08144529527698466	0.01
initial_acceptance_given_initial_contact	node_region==FAR_ABOVE	0.07983418899354965	0.07983418899354965	0.01
initial_acceptance_given_initial_contact	contributor_families==<OTHER>	0.07889523384153994	0.07889523384153994	0.01
initial_acceptance_given_initial_contact	server_hour_sin	-0.07661054435196045	0.07661054435196045	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|GLOBAL_VALUE|PIVOT|TPO_PROFILE	-0.07306626504778534	0.07306626504778534	0.01
initial_acceptance_given_initial_contact	start_region==FAR_ABOVE	0.06710182699392178	0.06710182699392178	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|MID_PIVOT|PIVOT|PIVOT_ZONE|TPO_PROFILE	0.06706714465088029	0.06706714465088029	0.01
initial_acceptance_given_initial_contact	feature_cog_median_gap_atr	0.06378504101776465	0.06378504101776465	0.01
initial_acceptance_given_initial_contact	feature_price_from_median_sigma	0.053336663252545255	0.053336663252545255	0.01
initial_acceptance_given_initial_contact	start_median_sigma	0.053336663252545255	0.053336663252545255	0.01
initial_acceptance_given_initial_contact	contributor_families==MID_PIVOT|PIVOT|PIVOT_ZONE|SENTINEL|TPO_PROFILE	-0.04771799937030035	0.04771799937030035	0.01
initial_acceptance_given_initial_contact	contributor_families==MID_PIVOT	0.04649774727210269	0.04649774727210269	0.01
initial_acceptance_given_initial_contact	node_revision	-0.046386982525267975	0.046386982525267975	0.01
initial_acceptance_given_initial_contact	feature_population_count_delta	0.04602007413720814	0.04602007413720814	0.01
initial_acceptance_given_initial_contact	contributor_families==GLOBAL_VALUE|MID_PIVOT	0.04474525329114983	0.04474525329114983	0.01
initial_acceptance_given_initial_contact	contributor_families==DAILY_EXTREME|GLOBAL_VALUE|MID_PIVOT|PIVOT|PIVOT_ZONE	0.04473450781552281	0.04473450781552281	0.01
initial_acceptance_given_initial_contact	feature_regional_median_velocity_sigma	0.04422796622189232	0.04422796622189232	0.01
initial_acceptance_given_initial_contact	contributor_families==PIVOT|SENTINEL|TPO_PROFILE	0.04292602684600784	0.04292602684600784	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|DAILY_EXTREME|PIVOT	-0.042518657153080855	0.042518657153080855	0.01
initial_acceptance_given_initial_contact	corridor_up_level_count	0.041795166209229344	0.041795166209229344	0.01
initial_acceptance_given_initial_contact	contributor_families==MID_PIVOT|PIVOT|PIVOT_ZONE|TPO_PROFILE	-0.04137522545521335	0.04137522545521335	0.01
initial_acceptance_given_initial_contact	feature_lattice_width_atr__MISSING	0.03994329293795943	0.03994329293795943	0.01
initial_acceptance_given_initial_contact	approach_efficiency	0.03977928608751296	0.03977928608751296	0.01
initial_acceptance_given_initial_contact	canonical_instrument==JPN225	0.039266395813275456	0.039266395813275456	0.01
initial_acceptance_given_initial_contact	feature_price_from_median_atr	0.03862638983012444	0.03862638983012444	0.01
initial_acceptance_given_initial_contact	corridor_down_atr__MISSING	-0.03847038551126682	0.03847038551126682	0.01
initial_acceptance_given_initial_contact	initial_distance_atr	-0.03788225002812267	0.03788225002812267	0.01
initial_acceptance_given_initial_contact	feature_price_from_cog_sigma	0.03767811405146594	0.03767811405146594	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|DAILY_EXTREME|MID_PIVOT	-0.037634466295046604	0.037634466295046604	0.01
initial_acceptance_given_initial_contact	feature_val_distance_atr	-0.03451027458488347	0.03451027458488347	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|PIVOT|TPO_PROFILE	0.03358612128807254	0.03358612128807254	0.01
initial_acceptance_given_initial_contact	corridor_up_atr	0.0323138779402605	0.0323138779402605	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|MID_PIVOT|PIVOT|PIVOT_ZONE	-0.030894444209167014	0.030894444209167014	0.01
