target	metric	target_state	rows	observed	missing	mean	std	minimum	q05	q25	median	q75	q95	maximum
rejection_given_initial_contact	feature_regional_median_velocity_sigma	NEGATIVE	1547	1547	0	-0.0014010947382029732	0.07146142717647279	-0.83930497	-0.09559523499999999	0.0	0.0	0.0	0.07820936199999975	0.6149836
rejection_given_initial_contact	feature_regional_median_velocity_sigma	POSITIVE	3504	3504	0	-0.00020993662100456638	0.05720661573591491	-0.79001659	-0.00564567	0.0	0.0	0.0	0.02456927	0.84678917
rejection_given_initial_contact	feature_regional_sigma_log_change_per_bar	CENSORED	686	686	0	-0.0021554521574344027	0.04241495786695367	-0.34592728	-0.046301977499999994	0.0	0.0	0.0	0.0429210425	0.32201027
rejection_given_initial_contact	feature_regional_sigma_log_change_per_bar	NEGATIVE	1547	1547	0	-0.003922241531997415	0.032069240186971326	-0.39486558	-0.04871334	0.0	0.0	0.0	0.00693474999999973	0.32201027
rejection_given_initial_contact	feature_regional_sigma_log_change_per_bar	POSITIVE	3504	3504	0	-0.0017747420719178082	0.025907625460835935	-0.33127027	-0.027760560499999996	0.0	0.0	0.0	0.000884360999999996	0.47109219
rejection_given_initial_contact	eligibility_latency_seconds	CENSORED	686	686	0	445.4256559766764	1131.5967619656637	0.0	0.25	8.25	48.5	265.0	2546.0	7619.0
rejection_given_initial_contact	eligibility_latency_seconds	NEGATIVE	1547	1547	0	426.00969618616676	956.8223494017684	0.0	2.0	22.0	62.0	292.5	2442.399999999998	7827.0
rejection_given_initial_contact	eligibility_latency_seconds	POSITIVE	3504	3504	0	478.449200913242	1893.9680089695862	0.0	5.0	30.0	76.0	306.25	2394.999999999998	94222.0
retest_hold_given_retest_contact	target_time_seconds	CENSORED	16	16	0	5023.375	3120.194392982591	216.0	304.5	1664.5	6952.5	7415.75	7559.25	7752.0
retest_hold_given_retest_contact	target_time_seconds	NEGATIVE	488	488	0	723.485655737705	1182.6637753576906	1.0	16.700000000000003	82.75	235.0	751.0	3204.049999999998	7766.0
retest_hold_given_retest_contact	target_time_seconds	POSITIVE	763	763	0	697.7850589777195	1084.1301051872526	7.0	48.0	115.5	277.0	747.5	3086.199999999998	7515.0
retest_hold_given_retest_contact	node_width_atr	CENSORED	16	16	0	3.6202104325	2.6933366258228784	0.07066139	0.0993024425	2.5188907375	2.91138148	4.594542645000001	8.3552471325	9.91251636
retest_hold_given_retest_contact	node_width_atr	NEGATIVE	488	488	0	0.47438617307377046	1.0648765901953152	0.0	0.0099103995	0.05005384	0.093689255	0.154143695	3.0972236244999976	8.12113721
retest_hold_given_retest_contact	node_width_atr	POSITIVE	763	763	0	3.0989084455308	2.4487098843880446	0.0	0.10020949900000001	1.07800175	2.67295597	4.34961864	7.996102710999999	10.87432933
retest_hold_given_retest_contact	initial_distance_atr	CENSORED	16	16	0	0.23568619500000001	0.07274998305038317	0.16151175	0.1798695675	0.202447035	0.21384153	0.22895236749999998	0.352203335	0.46810451
retest_hold_given_retest_contact	initial_distance_atr	NEGATIVE	488	488	0	0.37082267608606556	0.12007957303607608	0.01220665	0.20145982099999998	0.24897585	0.41192234	0.4877880275	0.4979127195	0.4999441
retest_hold_given_retest_contact	initial_distance_atr	POSITIVE	763	763	0	0.2809411087155963	0.1063346656313437	0.00250988	0.182514653	0.21523971	0.23847377	0.304730365	0.492545565	0.49989846
retest_hold_given_retest_contact	approach_efficiency	CENSORED	16	16	0	0.16406431999999999	0.14632164759309116	0.00177423	0.002726145	0.042102545000000005	0.10303652499999999	0.27976190749999996	0.3694403	0.48403796
retest_hold_given_retest_contact	approach_efficiency	NEGATIVE	488	488	0	0.28890867094262296	0.3035889592648085	0.00155521	0.0091311685	0.057417095	0.164518775	0.4372943675	0.985124745	1.0
retest_hold_given_retest_contact	approach_efficiency	POSITIVE	763	763	0	0.23792489785058976	0.2522956571863903	0.00158983	0.007409729	0.047391875	0.14099075	0.345390975	0.8543625519999998	1.0
retest_hold_given_retest_contact	corridor_up_atr	CENSORED	16	15	1	2.408646189333333	2.090242806914071	0.24574209	0.348709997	0.6384405799999999	2.03729908	3.5376522350000004	5.542629908999997	7.45306454
retest_hold_given_retest_contact	corridor_up_atr	NEGATIVE	488	486	2	2.788765046069959	2.7972984167452033	0.07137759	0.26495266	0.99943413	1.9292655650000001	3.46698731	8.5062644375	21.17249646
retest_hold_given_retest_contact	corridor_up_atr	POSITIVE	763	720	43	3.176977884736111	4.161245948686195	0.07227672	0.2008399715	0.9137248075	2.070141825	4.1990425225	9.477313422	60.9759482
retest_hold_given_retest_contact	corridor_down_atr	CENSORED	16	14	2	2.074420297857143	1.4544858293088834	0.12178012	0.4091545905	1.25908799	1.716957775	2.4391046650000003	4.843425423999999	5.15049091
