target	dimension	value	eligible_count	analyzable_count	positive_count	negative_count	censored_count	rate	wilson_low	wilson_high	run_block_bootstrap_low	run_block_bootstrap_high	run_count	episode_count
initial_acceptance_given_initial_contact	contributor_families	DAILY_EXTREME	87	72	0	72	15	0.0	0.0	0.05065117259645781	0.0	0.0	10	19
initial_acceptance_given_initial_contact	contributor_families	DAILY_EXTREME|GLOBAL_VALUE	20	9	0	9	11	0.0	0.0	0.2991450484195441	0.0	0.0	6	11
initial_acceptance_given_initial_contact	contributor_families	DAILY_EXTREME|GLOBAL_VALUE|MID_PIVOT|PIVOT|PIVOT_ZONE	23	22	3	19	1	0.13636363636363635	0.04749003714055253	0.33334987166571717	0.09090909090909091	0.5	3	5
initial_acceptance_given_initial_contact	contributor_families	DAILY_EXTREME|GLOBAL_VALUE|MID_PIVOT|PIVOT|PIVOT_ZONE|TPO_PROFILE	16	16	0	16	0	0.0	0.0	0.1936076805344365	0.0	0.0	1	1
initial_acceptance_given_initial_contact	contributor_families	DAILY_EXTREME|GLOBAL_VALUE|PIVOT	4	4	0	4	0	0.0	0.0	0.4898908364545973	0.0	0.0	2	2
initial_acceptance_given_initial_contact	contributor_families	DAILY_EXTREME|MID_PIVOT	207	73	1	72	134	0.0136986301369863	0.0024222514664838588	0.07359737270963818	0.0	0.04	20	147
initial_acceptance_given_initial_contact	contributor_families	DAILY_EXTREME|MID_PIVOT|PIVOT	40	34	2	32	6	0.058823529411764705	0.016282655210122746	0.19093606904280996	0.0	0.22727272727272727	8	11
initial_acceptance_given_initial_contact	contributor_families	DAILY_EXTREME|MID_PIVOT|PIVOT|PIVOT_ZONE	489	463	13	450	26	0.028077753779697623	0.016480914374284037	0.047441126517452026	0.01226763467256615	0.05088178294573639	17	76
initial_acceptance_given_initial_contact	contributor_families	DAILY_EXTREME|MID_PIVOT|PIVOT|PIVOT_ZONE|SENTINEL	1	1	1	0	0	1.0	0.20654931437723745	1.0	1.0	1.0	1	1
initial_acceptance_given_initial_contact	contributor_families	DAILY_EXTREME|MID_PIVOT|PIVOT|PIVOT_ZONE|SENTINEL|TPO_PROFILE	31	29	0	29	2	0.0	0.0	0.11696979849974075	0.0	0.0	3	4
initial_acceptance_given_initial_contact	contributor_families	DAILY_EXTREME|MID_PIVOT|PIVOT|PIVOT_ZONE|TPO_PROFILE	520	491	9	482	29	0.018329938900203666	0.009672821864549128	0.03446547421263624	0.006939136787681241	0.027774888634080504	18	56
initial_acceptance_given_initial_contact	contributor_families	DAILY_EXTREME|MID_PIVOT|PIVOT|TPO_PROFILE	32	30	2	28	2	0.06666666666666667	0.018477023791270378	0.2132345836261692	0.0	0.26666666666666666	5	6
initial_acceptance_given_initial_contact	contributor_families	DAILY_EXTREME|MID_PIVOT|TPO_PROFILE	52	43	4	39	9	0.09302325581395349	0.03677164063171276	0.21602703641253587	0.03496503496503497	0.7142857142857143	7	17
initial_acceptance_given_initial_contact	contributor_families	DAILY_EXTREME|PIVOT	259	93	2	91	166	0.021505376344086023	0.005917499808404975	0.07505462634691146	0.0	0.06075367647058815	20	179
initial_acceptance_given_initial_contact	contributor_families	DAILY_EXTREME|PIVOT|TPO_PROFILE	30	29	3	26	1	0.10344827586206896	0.03581489135067707	0.26385081090773804	0.02530448717948718	0.26666666666666666	11	16
initial_acceptance_given_initial_contact	contributor_families	DAILY_EXTREME|SENTINEL	6	1	0	1	5	0.0	0.0	0.7934506856227626	0.0	0.0	5	5
initial_acceptance_given_initial_contact	contributor_families	DAILY_EXTREME|TPO_PROFILE	235	101	4	97	134	0.039603960396039604	0.015507146202925828	0.0974391915711991	0.011235955056179775	0.06761238475972911	20	160
initial_acceptance_given_initial_contact	contributor_families	GLOBAL_VALUE|MID_PIVOT	16	15	6	9	1	0.4	0.1982449614134158	0.6425316987937539	0.25	0.6	3	6
initial_acceptance_given_initial_contact	contributor_families	GLOBAL_VALUE|MID_PIVOT|PIVOT|PIVOT_ZONE	38	37	3	34	1	0.08108108108108109	0.02796057410044797	0.2130067934928839	0.0	0.16666666666666666	3	6
initial_acceptance_given_initial_contact	contributor_families	GLOBAL_VALUE|MID_PIVOT|PIVOT|PIVOT_ZONE|TPO_PROFILE	9	9	0	9	0	0.0	0.0	0.2991450484195441	0.0	0.0	1	1
initial_acceptance_given_initial_contact	contributor_families	GLOBAL_VALUE|PIVOT	27	26	6	20	1	0.23076923076923078	0.11033849405783291	0.42051554078943687	0.1111111111111111	0.3055555555555556	4	8
initial_acceptance_given_initial_contact	contributor_families	GLOBAL_VALUE|TPO_PROFILE	27	25	10	15	2	0.4	0.23403302377747973	0.5926054264103301	0.2551630434782609	0.5	6	6
initial_acceptance_given_initial_contact	contributor_families	MID_PIVOT	88	86	28	58	2	0.32558139534883723	0.23585699457311415	0.43022144634051696	0.22765151515151513	0.3721369078604893	6	17
initial_acceptance_given_initial_contact	contributor_families	MID_PIVOT|PIVOT	193	189	62	127	4	0.328042328042328	0.2651143617469248	0.39782118957330437	0.2832638580931264	0.3817522553782096	11	38
initial_acceptance_given_initial_contact	contributor_families	MID_PIVOT|PIVOT|PIVOT_ZONE	174	162	12	150	12	0.07407407407407407	0.04287845043798769	0.12500151768744944	0.027777777777777776	0.12548611111111108	16	45
initial_acceptance_given_initial_contact	contributor_families	MID_PIVOT|PIVOT|PIVOT_ZONE|SENTINEL	2	2	1	1	0	0.5	0.09453120573423074	0.9054687942657693	0.5	0.5	1	1
initial_acceptance_given_initial_contact	contributor_families	MID_PIVOT|PIVOT|PIVOT_ZONE|SENTINEL|TPO_PROFILE	105	102	2	100	3	0.0196078431372549	0.005393752169586284	0.06869308401034893	0.0	0.04735294117647058	6	12
initial_acceptance_given_initial_contact	contributor_families	MID_PIVOT|PIVOT|PIVOT_ZONE|TPO_PROFILE	397	379	25	354	18	0.06596306068601583	0.04507567509420679	0.09556076220949461	0.03377106195454938	0.09972984511586565	19	69
initial_acceptance_given_initial_contact	contributor_families	MID_PIVOT|PIVOT|TPO_PROFILE	64	63	22	41	1	0.3492063492063492	0.24325989015230323	0.47248539226338215	0.24312724014336917	0.4489795918367347	6	14
initial_acceptance_given_initial_contact	contributor_families	MID_PIVOT|SENTINEL	8	8	3	5	0	0.375	0.13684428582359742	0.6942576053973727	0.375	0.375	1	1
initial_acceptance_given_initial_contact	contributor_families	MID_PIVOT|SENTINEL|TPO_PROFILE	1	1	1	0	0	1.0	0.20654931437723745	1.0	1.0	1.0	1	1
initial_acceptance_given_initial_contact	contributor_families	MID_PIVOT|TPO_PROFILE	284	275	73	202	9	0.26545454545454544	0.21675601486284277	0.3206155060523737	0.2224439775910364	0.3180275974025974	18	71
initial_acceptance_given_initial_contact	contributor_families	PIVOT	90	89	38	51	1	0.42696629213483145	0.3293275130307593	0.5306488362734123	0.3406552224371373	0.530584512285927	9	23
initial_acceptance_given_initial_contact	contributor_families	PIVOT|SENTINEL	6	6	0	6	0	0.0	2.7755575615628914e-17	0.3903342879021653	0.0	0.0	3	4
initial_acceptance_given_initial_contact	contributor_families	PIVOT|SENTINEL|TPO_PROFILE	11	11	5	6	0	0.45454545454545453	0.21271271622459764	0.719908462590678	0.2857142857142857	0.8333333333333334	4	5
initial_acceptance_given_initial_contact	contributor_families	PIVOT|TPO_PROFILE	396	388	146	242	8	0.37628865979381443	0.32951884558852756	0.4254841081853625	0.3193467412217412	0.4179761904761905	19	94
initial_acceptance_given_initial_contact	contributor_families	SENTINEL|TPO_PROFILE	1	0	0	0	1	\N	\N	\N	\N	\N	1	1
initial_acceptance_given_initial_contact	contributor_families	TPO_PROFILE	187	175	50	125	12	0.2857142857142857	0.22394844216204224	0.35668571003868	0.2353953537936914	0.37204301075268814	17	53
initial_acceptance_given_initial_contact	node_width_bucket	(0.10,0.25]	602	507	134	373	95	0.26429980276134124	0.2277924139096951	0.3043520589532853	0.2145743003547497	0.2983967869094209	20	231
initial_acceptance_given_initial_contact	node_width_bucket	(0.25,0.50]	85	80	16	64	5	0.2	0.12702844043960787	0.30046243728170835	0.1135517408123791	0.3333333333333333	15	29
initial_acceptance_given_initial_contact	node_width_bucket	(0.50,1.00]	584	559	77	482	25	0.13774597495527727	0.11163963560549404	0.16879716652954213	0.09753483620285389	0.17956196581196582	19	123
initial_acceptance_given_initial_contact	node_width_bucket	<=0.10	1511	1116	331	785	395	0.29659498207885304	0.27053174764262217	0.3240537211985585	0.25839832346011543	0.3394268526936595	20	640
initial_acceptance_given_initial_contact	node_width_bucket	>1.00	2955	2789	109	2680	166	0.039082108282538545	0.03250102178679898	0.04693114867173073	0.029199763102712755	0.048893785815224695	20	379
initial_acceptance_given_initial_contact	node_age_bucket	(12h,24h]	848	817	105	712	31	0.12851897184822522	0.10729706224006282	0.15321787218822608	0.09592588996280306	0.17284071744643206	19	129
initial_acceptance_given_initial_contact	node_age_bucket	(1d,3d]	807	774	78	696	33	0.10077519379844961	0.08150011049588506	0.12399351164021706	0.06295824623170866	0.15027076882535081	18	110
initial_acceptance_given_initial_contact	node_age_bucket	(1h,4h]	1126	1032	145	887	94	0.14050387596899225	0.12063259947020173	0.16304156351921242	0.11052457257049811	0.16883124671586205	20	287
initial_acceptance_given_initial_contact	node_age_bucket	(4h,12h]	1039	982	128	854	57	0.13034623217922606	0.11072051514881218	0.15285275669504758	0.08678745378852319	0.17975641025641023	20	169
initial_acceptance_given_initial_contact	node_age_bucket	<=1h	1843	1374	208	1166	469	0.15138282387190685	0.13340453997248608	0.17130501578441498	0.126108515696504	0.17877640803910083	20	841
initial_acceptance_given_initial_contact	node_age_bucket	>3d	74	72	3	69	2	0.041666666666666664	0.014270807466925182	0.11549276741316111	0.0	0.20543478260869522	5	9
initial_acceptance_given_initial_contact	sigma_bucket	<-2	25	15	2	13	10	0.13333333333333333	0.03736125910306537	0.37881982832322364	0.0	0.26666666666666666	4	15
initial_acceptance_given_initial_contact	sigma_bucket	>=2	6	4	0	4	2	0.0	0.0	0.4898908364545973	0.0	0.0	2	2
initial_acceptance_given_initial_contact	sigma_bucket	[-.5,.5)	3186	2814	442	2372	372	0.15707178393745558	0.14409626121647853	0.17098230931185351	0.13926705242244894	0.17218608037085847	20	766
initial_acceptance_given_initial_contact	sigma_bucket	[-1,-.5)	820	719	93	626	101	0.12934631432545202	0.10677300187573883	0.15585922059032983	0.09451425129339706	0.16333847877505286	14	200
initial_acceptance_given_initial_contact	sigma_bucket	[-2,-1)	502	447	36	411	55	0.08053691275167785	0.058739097216585226	0.10948291816567206	0.03647073898052372	0.11503660379912466	11	107
initial_acceptance_given_initial_contact	sigma_bucket	[.5,1)	896	797	62	735	99	0.07779171894604768	0.061156217178948015	0.09847769963768552	0.04526546297081179	0.11519740232254262	14	168
initial_acceptance_given_initial_contact	sigma_bucket	[1,2)	302	255	32	223	47	0.12549019607843137	0.09031038753693407	0.1717861835834195	0.04036228439494771	0.22823944614829514	12	82
initial_acceptance_given_initial_contact	corridor_bucket	(0.25,0.50]	709	637	93	544	72	0.14599686028257458	0.1206981877451564	0.17553960431350524	0.11664260602252076	0.17966535892124716	19	232
initial_acceptance_given_initial_contact	corridor_bucket	(0.50,1.00]	1186	1055	178	877	131	0.16872037914691942	0.14733281248334376	0.19251169948115257	0.130377678013722	0.21155811358069265	20	328
initial_acceptance_given_initial_contact	corridor_bucket	(1.00,2.00]	1286	1131	157	974	155	0.138815207780725	0.11988444736604598	0.1601912022766706	0.11366498325798008	0.1618848744917403	20	364
initial_acceptance_given_initial_contact	corridor_bucket	<=0.25	616	554	62	492	62	0.11191335740072202	0.08828826711264891	0.14088340308009298	0.06074219997445232	0.1780395098774693	19	155
initial_acceptance_given_initial_contact	corridor_bucket	>2.00	1940	1674	177	1497	266	0.1057347670250896	0.09189632636840396	0.12137856735856976	0.08084259939403794	0.1300468711524957	20	479
initial_acceptance_given_initial_contact	server_time_bucket	00-03	966	764	109	655	202	0.14267015706806283	0.11965601058697958	0.16925969756117656	0.12000362210764051	0.16599946484978978	20	367
initial_acceptance_given_initial_contact	server_time_bucket	04-07	695	615	82	533	80	0.13333333333333333	0.10873021021012401	0.16248862367431563	0.0971597970173985	0.17198302517826716	20	196
initial_acceptance_given_initial_contact	server_time_bucket	08-11	1050	916	97	819	134	0.10589519650655022	0.08758814211830898	0.12749398635450604	0.08334134534574915	0.12791578453704944	20	264
initial_acceptance_given_initial_contact	server_time_bucket	12-15	869	792	94	698	77	0.11868686868686869	0.09798227136979686	0.14307259790651794	0.08732030501270886	0.14776860697039682	20	222
initial_acceptance_given_initial_contact	server_time_bucket	16-19	1429	1311	188	1123	118	0.14340198321891687	0.12547094442177514	0.1634167053191914	0.11149998925586092	0.17255118557123267	20	326
initial_acceptance_given_initial_contact	server_time_bucket	20-23	728	653	97	556	75	0.14854517611026033	0.12332562676396783	0.17787560857812298	0.10668846815834768	0.18597587117574427	20	189
rejection_given_initial_contact	OVERALL	ALL	5737	5051	3504	1547	686	0.6937240150465255	0.680868907409954	0.7062846790957192	0.6575030627816703	0.73853214674825	20	1258
