session_id	civil_date	calendar_status	clock_status	server_offset_minutes	source_day_m1_rows	source_day_m5_rows	expected_m1_range	observed_m1_range	missing_m1_range	duplicate_m1_range	expected_m5_horizon	observed_m5_horizon	missing_m5_horizon	duplicate_m5_horizon	decision	partition
OBSOPEN_US30_20250620	2025-06-20	NORMAL_SESSION	QUALIFIED	180	1320	264	30	30	0	0	79	78	1	0	NOT_EVALUABLE_SOURCE_COVERAGE_M5	
OBSOPEN_US30_20250621	2025-06-21	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20250622	2025-06-22	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20250623	2025-06-23	NORMAL_SESSION	QUALIFIED	180	1377	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20250624	2025-06-24	NORMAL_SESSION	QUALIFIED	180	1377	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20250625	2025-06-25	NORMAL_SESSION	QUALIFIED	180	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20250626	2025-06-26	NORMAL_SESSION	QUALIFIED	180	1378	276	30	29	1	0	79	79	0	0	NOT_EVALUABLE_SOURCE_COVERAGE_M1	
OBSOPEN_US30_20250627	2025-06-27	NORMAL_SESSION	QUALIFIED	180	1320	264	30	30	0	0	79	78	1	0	NOT_EVALUABLE_SOURCE_COVERAGE_M5	
OBSOPEN_US30_20250628	2025-06-28	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20250629	2025-06-29	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20250630	2025-06-30	NORMAL_SESSION	QUALIFIED	180	1379	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20250701	2025-07-01	NORMAL_SESSION	QUALIFIED	180	1379	276	30	30	0	0	79	79	0	0	ADMITTED	CONFIRMATION
OBSOPEN_US30_20250702	2025-07-02	NORMAL_SESSION	QUALIFIED	180	1378	276	30	30	0	0	79	79	0	0	ADMITTED	CONFIRMATION
OBSOPEN_US30_20250703	2025-07-03	EARLY_CLOSE	NOT_APPLICABLE		604	122	0	0	0	0	0	0	0	0	EARLY_CLOSE_HORIZON_INCOMPLETE	
OBSOPEN_US30_20250704	2025-07-04	EXCHANGE_CLOSED	NOT_APPLICABLE		713	144	0	0	0	0	0	0	0	0	EXCHANGE_CLOSED	
OBSOPEN_US30_20250705	2025-07-05	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20250706	2025-07-06	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20250707	2025-07-07	NORMAL_SESSION	QUALIFIED	180	1379	276	30	30	0	0	79	79	0	0	ADMITTED	CONFIRMATION
OBSOPEN_US30_20250708	2025-07-08	NORMAL_SESSION	QUALIFIED	180	1378	276	30	30	0	0	79	79	0	0	ADMITTED	CONFIRMATION
