session_id	civil_date	partition	server_offset_minutes	confirmation_status
OBSOPEN_US30_20250402	2025-04-02	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250403	2025-04-03	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250407	2025-04-07	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250408	2025-04-08	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250409	2025-04-09	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250414	2025-04-14	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250415	2025-04-15	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250416	2025-04-16	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250417	2025-04-17	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250422	2025-04-22	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250423	2025-04-23	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250424	2025-04-24	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250428	2025-04-28	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250429	2025-04-29	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250430	2025-04-30	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250501	2025-05-01	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250505	2025-05-05	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250507	2025-05-07	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250508	2025-05-08	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250512	2025-05-12	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250513	2025-05-13	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250514	2025-05-14	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250515	2025-05-15	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250520	2025-05-20	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250521	2025-05-21	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250522	2025-05-22	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250528	2025-05-28	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250529	2025-05-29	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250604	2025-06-04	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250605	2025-06-05	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250609	2025-06-09	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250610	2025-06-10	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250611	2025-06-11	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250612	2025-06-12	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250616	2025-06-16	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250617	2025-06-17	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250618	2025-06-18	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250623	2025-06-23	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250624	2025-06-24	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250625	2025-06-25	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250630	2025-06-30	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250701	2025-07-01	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20250702	2025-07-02	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20250707	2025-07-07	CONFIRMATION	180	FROZEN_UNOPENED
