session_id	civil_date	reason
OBSOPEN_US30_20241219	2024-12-19	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241220	2024-12-20	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241221	2024-12-21	NON_SESSION_WEEKEND
OBSOPEN_US30_20241222	2024-12-22	NON_SESSION_WEEKEND
OBSOPEN_US30_20241223	2024-12-23	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241224	2024-12-24	EARLY_CLOSE_HORIZON_INCOMPLETE
OBSOPEN_US30_20241225	2024-12-25	EXCHANGE_CLOSED
OBSOPEN_US30_20241226	2024-12-26	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241227	2024-12-27	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241228	2024-12-28	NON_SESSION_WEEKEND
OBSOPEN_US30_20241229	2024-12-29	NON_SESSION_WEEKEND
OBSOPEN_US30_20241230	2024-12-30	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241231	2024-12-31	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20250101	2025-01-01	EXCHANGE_CLOSED
OBSOPEN_US30_20250103	2025-01-03	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250104	2025-01-04	NON_SESSION_WEEKEND
OBSOPEN_US30_20250105	2025-01-05	NON_SESSION_WEEKEND
OBSOPEN_US30_20250109	2025-01-09	EXCHANGE_CLOSED
OBSOPEN_US30_20250110	2025-01-10	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250111	2025-01-11	NON_SESSION_WEEKEND
OBSOPEN_US30_20250112	2025-01-12	NON_SESSION_WEEKEND
OBSOPEN_US30_20250117	2025-01-17	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250118	2025-01-18	NON_SESSION_WEEKEND
OBSOPEN_US30_20250119	2025-01-19	NON_SESSION_WEEKEND
OBSOPEN_US30_20250120	2025-01-20	EXCHANGE_CLOSED
