unit,stratifier,stratum,metric,rows,count,missing_count,missing_rate,censored_count,censoring_rate,min,p01,p05,p25,median,p75,p95,p99,max,mean,std
episode,resolution,TIMEOUT,duration_bars,400,400,0,0.0,5,0.0125,3.0,17.990000000000002,25.0,26.0,41.0,64.25,141.14999999999986,190.1099999999999,287.0,54.1975,39.102442330890305
episode,resolution,TIMEOUT,node_width_atr,400,400,0,0.0,5,0.0125,0.0,0.004708598400000001,0.019920445499999998,0.10430329499999999,2.4909067599999997,6.526305325,14.61169518599998,22.0028101996,35.49407115,4.34359999115,5.3066603479859955
episode,resolution,TIMEOUT,node_age_seconds,400,400,0,0.0,5,0.0125,0.0,0.0,0.0,310.0,16590.0,73789.5,179904.24999999974,277333.1399999999,336513.0,47779.62,65642.26149422178
episode,resolution,TIMEOUT,start_median_sigma,400,400,0,0.0,5,0.0125,-2.66177002,-1.7979560324,-1.3146886405,-0.5025687625,-0.005254844999999999,0.36370346,1.149445622,1.6818170134,2.45803018,-0.04380811994999998,0.7355455512767766
episode,resolution,TIMEOUT,nearest_corridor_atr,400,400,0,0.0,5,0.0125,0.05607177,0.12422723320000001,0.19162727,0.5517344075,1.28629433,2.6215942825000003,6.6962116564999485,11.830621116599998,19.65179969,2.11078036675,2.515063628743389
episode,resolution,TRANSIT_TO_NEXT_NODE,duration_seconds,91,91,0,0.0,4,0.04395604395604396,501.0,590.1,754.5,1920.5,4151.0,13177.0,33993.5,51451.69999999965,106646.0,10149.846153846154,14756.098084764126
episode,resolution,TRANSIT_TO_NEXT_NODE,duration_bars,91,91,0,0.0,4,0.04395604395604396,2.0,2.0,2.0,4.0,9.0,30.5,97.0,121.89999999999989,139.0,22.197802197802197,29.0165545776965
episode,resolution,TRANSIT_TO_NEXT_NODE,node_width_atr,91,91,0,0.0,4,0.04395604395604396,0.0,0.0,0.003976775,0.051918725,0.09943952,0.801227225,2.8662249849999997,4.993109797999997,5.35089425,0.5954430389010987,1.0588268748232836
episode,resolution,TRANSIT_TO_NEXT_NODE,node_age_seconds,91,91,0,0.0,4,0.04395604395604396,0.0,0.0,0.0,22.5,3820.0,55464.5,99260.5,169171.1999999998,199881.0,29663.076923076922,42352.70354173411
episode,resolution,TRANSIT_TO_NEXT_NODE,start_median_sigma,91,91,0,0.0,4,0.04395604395604396,-1.7292652,-1.420839943,-1.024195025,-0.330235115,-0.01002963,0.27081334,0.7123012,1.5032872659999998,1.51119346,-0.058656075934065924,0.5769143217540298
episode,resolution,TRANSIT_TO_NEXT_NODE,nearest_corridor_atr,91,91,0,0.0,4,0.04395604395604396,0.14439391,0.165169249,0.261357055,0.49807172,1.41788898,2.254230535,4.017850065,4.8054500909999875,6.65655921,1.6436044325274726,1.2913285332210154
attempt,resolution,ACCEPT_AND_FAIL_RETEST,duration_seconds,488,488,0,0.0,0,0.0,1.0,4.0,16.700000000000003,82.75,235.0,751.0,3204.049999999998,5956.11,7766.0,723.485655737705,1182.6637753576906
attempt,resolution,ACCEPT_AND_FAIL_RETEST,penetration_atr,488,488,0,0.0,0,0.0,0.00201482,0.0087586859,0.021452157000000003,0.0718811525,0.11442784,0.2182944375,2.9109466344999984,4.763042339099999,7.82001782,0.49096983405737704,1.0178923954334818
attempt,resolution,ACCEPT_AND_FAIL_RETEST,inside_seconds,488,488,0,0.0,0,0.0,0.0,0.0,0.0,1.0,7.0,28.25,1163.1999999999994,3136.7199999999993,5788.0,172.87295081967213,580.3559024929622
attempt,resolution,ACCEPT_AND_FAIL_RETEST,approach_efficiency,488,488,0,0.0,0,0.0,0.00155521,0.0047430773,0.0091311685,0.057417095,0.164518775,0.4372943675,0.985124745,1.0,1.0,0.28890867094262296,0.3035889592648085
attempt,resolution,ACCEPT_AND_FAIL_RETEST,node_width_atr,488,488,0,0.0,0,0.0,0.0,0.0,0.0099103995,0.05005384,0.093689255,0.154143695,3.0972236244999976,5.219795245899998,8.12113721,0.47438617307377046,1.0648765901953152
attempt,resolution,ACCEPT_AND_FAIL_RETEST,node_age_seconds,488,488,0,0.0,0,0.0,600.0,663.76,1334.7,5884.5,20387.0,67003.75,157219.8,245442.68999999997,284737.0,45869.70081967213,56712.26101475036
attempt,resolution,ACCEPT_AND_FAIL_RETEST,start_median_sigma,488,488,0,0.0,0,0.0,-2.2982975,-1.7675084350999999,-1.0308068510000001,-0.35154407,0.015378615,0.32904031,0.8477831664999995,1.6149953171999998,1.86954555,-0.020409751577868847,0.6263168477159948
attempt,resolution,ACCEPT_AND_FAIL_RETEST,nearest_corridor_atr,488,488,0,0.0,0,0.0,0.07137759,0.1221633256,0.167985031,0.5376412975,0.98537517,2.0633556525000003,4.613964773,11.268408769399999,15.34459129,1.6371504004713113,1.9386477188413689
attempt,resolution,ACCEPT_AND_HOLD_RETEST,duration_seconds,763,763,0,0.0,0,0.0,7.0,28.62,48.0,115.5,277.0,747.5,3086.199999999998,5484.0999999999985,7515.0,697.7850589777195,1084.1301051872526
attempt,resolution,ACCEPT_AND_HOLD_RETEST,penetration_atr,763,763,0,0.0,0,0.0,0.0,0.0,0.012147838,0.07364877,0.23060647,0.57542967,1.9616320049999993,3.5699679321999995,5.59969731,0.4931949594102229,0.7049404837860304
attempt,resolution,ACCEPT_AND_HOLD_RETEST,inside_seconds,763,763,0,0.0,0,0.0,0.0,1.0,1.0,9.0,43.0,142.0,1071.2999999999984,3156.9399999999996,5750.0,220.38532110091742,583.8774036228945
attempt,resolution,ACCEPT_AND_HOLD_RETEST,approach_efficiency,763,763,0,0.0,0,0.0,0.00158983,0.002991088,0.007409729,0.047391875,0.14099075,0.345390975,0.8543625519999998,1.0,1.0,0.23792489785058976,0.2522956571863903
