unit,dimension,value,count,total,share,censored_count,censoring_rate,entropy_bits,normalized_entropy
attempt,ordinal,100,1,7764,0.00012879958784131891,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,101,1,7764,0.00012879958784131891,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,102,1,7764,0.00012879958784131891,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,103,1,7764,0.00012879958784131891,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,104,1,7764,0.00012879958784131891,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,105,1,7764,0.00012879958784131891,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,106,1,7764,0.00012879958784131891,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,107,1,7764,0.00012879958784131891,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,108,1,7764,0.00012879958784131891,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,11,209,7764,0.026919113858835653,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,12,189,7764,0.024343122102009274,1,0.005291005291005291,5.084782771620528,0.7527560999338574
attempt,ordinal,13,177,7764,0.022797527047913446,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,14,161,7764,0.020736733642452345,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,15,145,7764,0.01867594023699124,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,16,134,7764,0.017259144770736732,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,17,118,7764,0.015198351365275631,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,18,110,7764,0.01416795466254508,1,0.00909090909090909,5.084782771620528,0.7527560999338574
attempt,ordinal,19,101,7764,0.01300875837197321,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,2,692,7764,0.08912931478619268,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,20,97,7764,0.012493560020607935,1,0.010309278350515464,5.084782771620528,0.7527560999338574
attempt,ordinal,21,88,7764,0.011334363730036065,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,22,86,7764,0.011076764554353425,1,0.011627906976744186,5.084782771620528,0.7527560999338574
attempt,ordinal,23,79,7764,0.010175167439464193,1,0.012658227848101266,5.084782771620528,0.7527560999338574
attempt,ordinal,24,74,7764,0.0095311695002576,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,25,70,7764,0.009015971148892323,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,26,66,7764,0.008500772797527048,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,27,60,7764,0.0077279752704791345,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,28,56,7764,0.0072127769191138585,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,29,52,7764,0.006697578567748583,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,3,543,7764,0.06993817619783617,3,0.0055248618784530384,5.084782771620528,0.7527560999338574
attempt,ordinal,30,48,7764,0.0061823802163833074,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,31,47,7764,0.006053580628541989,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,32,47,7764,0.006053580628541989,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,33,45,7764,0.005795981452859351,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,34,43,7764,0.005538382277176713,1,0.023255813953488372,5.084782771620528,0.7527560999338574
attempt,ordinal,35,39,7764,0.005023183925811438,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,36,37,7764,0.0047655847501288,0,0.0,5.084782771620528,0.7527560999338574
