unit,cross,dimension_1,value_1,dimension_2,value_2,count,censored_count,total,share,censoring_rate
episode,selection_class x resolution,selection_class,DIRECTIONAL_EXPANSION_UP,resolution,ACCEPT_THROUGH_NODE,1,0,1462,0.0006839945280437756,0.0
episode,selection_class x resolution,selection_class,DIRECTIONAL_EXPANSION_UP,resolution,NODE_RETIRED,113,0,1462,0.07729138166894665,0.0
episode,selection_class x resolution,selection_class,DIRECTIONAL_EXPANSION_UP,resolution,RECLAIM_AFTER_BREAK,2,0,1462,0.0013679890560875513,0.0
episode,selection_class x resolution,selection_class,DIRECTIONAL_EXPANSION_UP,resolution,RETURN_TO_SOURCE_NODE,3,0,1462,0.002051983584131327,0.0
episode,selection_class x resolution,selection_class,DIRECTIONAL_EXPANSION_UP,resolution,TIMEOUT,34,0,1462,0.023255813953488372,0.0
episode,selection_class x resolution,selection_class,DIRECTIONAL_EXPANSION_UP,resolution,TRANSIT_TO_NEXT_NODE,7,0,1462,0.0047879616963064295,0.0
episode,selection_class x resolution,selection_class,EVENT_HEAVY,resolution,ACCEPT_AND_FAIL_RETEST,1,1,1462,0.0006839945280437756,1.0
episode,selection_class x resolution,selection_class,EVENT_HEAVY,resolution,ACCEPT_AND_HOLD_RETEST,1,0,1462,0.0006839945280437756,0.0
episode,selection_class x resolution,selection_class,EVENT_HEAVY,resolution,NODE_RETIRED,80,1,1462,0.05471956224350205,0.0125
episode,selection_class x resolution,selection_class,EVENT_HEAVY,resolution,RECLAIM_AFTER_BREAK,4,0,1462,0.0027359781121751026,0.0
episode,selection_class x resolution,selection_class,EVENT_HEAVY,resolution,REJECT_TO_ORIGIN,1,1,1462,0.0006839945280437756,1.0
episode,selection_class x resolution,selection_class,EVENT_HEAVY,resolution,RETURN_TO_SOURCE_NODE,1,0,1462,0.0006839945280437756,0.0
episode,selection_class x resolution,selection_class,EVENT_HEAVY,resolution,TIMEOUT,35,1,1462,0.023939808481532147,0.02857142857142857
episode,selection_class x resolution,selection_class,EVENT_HEAVY,resolution,TRANSIT_TO_NEXT_NODE,7,1,1462,0.0047879616963064295,0.14285714285714285
episode,selection_class x resolution,selection_class,HIGH_VOLATILITY,resolution,ACCEPT_AND_HOLD_RETEST,2,0,1462,0.0013679890560875513,0.0
episode,selection_class x resolution,selection_class,HIGH_VOLATILITY,resolution,NODE_RETIRED,48,0,1462,0.03283173734610123,0.0
episode,selection_class x resolution,selection_class,HIGH_VOLATILITY,resolution,RECLAIM_AFTER_BREAK,3,0,1462,0.002051983584131327,0.0
episode,selection_class x resolution,selection_class,HIGH_VOLATILITY,resolution,REJECT_TO_ORIGIN,1,1,1462,0.0006839945280437756,1.0
episode,selection_class x resolution,selection_class,HIGH_VOLATILITY,resolution,RETURN_TO_SOURCE_NODE,2,0,1462,0.0013679890560875513,0.0
episode,selection_class x resolution,selection_class,HIGH_VOLATILITY,resolution,TIMEOUT,22,0,1462,0.015047879616963064,0.0
episode,selection_class x resolution,selection_class,HIGH_VOLATILITY,resolution,TRANSIT_TO_NEXT_NODE,7,0,1462,0.0047879616963064295,0.0
episode,selection_class x resolution,selection_class,LOW_VOLATILITY,resolution,ACCEPT_THROUGH_NODE,1,0,1462,0.0006839945280437756,0.0
episode,selection_class x resolution,selection_class,LOW_VOLATILITY,resolution,NODE_RETIRED,53,0,1462,0.03625170998632011,0.0
