object_kind	run_key	object_id	object_start_time	object_end_time	intersection_status	authority_status	overlap_start	overlap_end	overlap_seconds	fraction_of_object_lifetime	fraction_of_episode_lifetime
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	13	1774641300	1774828800	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	1	1774256100	1774311300	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	2	1774314900	1774329300	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	3	1774341900	1774401300	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	4	1774407300	1774417200	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	5	1774421100	1774427400	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	6	1774434300	1774468800	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	7	1774477800	1774488600	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	8	1774500900	1774507500	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	9	1774511100	1774554600	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	10	1774561200	1774575300	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	11	1774579800	1774586700	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	12	1774591200	1774647000	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	1	1777584300	1777874700	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	2	1777875300	1777886700	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	3	1777932300	1777972200	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	4	1777980600	1777990500	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	5	1778007300	1778030700	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	6	1778033700	1778047500	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	7	1778092200	1778106600	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	8	1778115600	1778128800	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	9	1778129400	1778143500	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	10	1778202000	1778210100	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	11	1778210700	1778240100	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	12	1778265900	1778457600	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	1	1777874700	1777881000	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	2	1777886700	1777945200	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	3	1777972200	1777986300	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	4	1777990500	1778013000	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	5	1778030700	1778039400	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	6	1778047500	1778097900	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	7	1778106600	1778121300	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	8	1778128800	1778135100	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	9	1778143500	1778207700	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	10	1778210100	1778216400	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	11	1778240100	1778271600	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	1	1781485500	1781494800	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	2	1781495400	1781519400	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	3	1781528100	1781540100	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	4	1781549700	1781558400	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	5	1781559000	1781574300	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	6	1781579700	1781598600	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	7	1781611800	1781620200	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	8	1781639700	1781649300	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	9	1781649900	1781670900	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	10	1781673300	1781685900	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	11	1781707500	1781721600	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	12	1781722200	1781731800	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	13	1781756400	1781769900	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	14	1781812500	1781821800	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	15	1781832000	1781840400	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	16	1781842800	1781856000	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	17	1781898300	1782086400	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	1	1781494800	1781501100	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	2	1781519400	1781533800	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	3	1781540100	1781555400	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	4	1781558400	1781571900	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	5	1781574300	1781585400	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
